Long,Lat,Heading
-0.241553837,51.52186021,353.5
-0.241535509,51.52186294,351.9207692
-0.241521744,51.52186568,350.3415385
-0.241514934,51.5218685,348.7623077
-0.241503531,51.52187272,347.1830769
-0.241489905,51.52187842,345.6038462
-0.241478621,51.5218842,344.0246154
-0.241464972,51.52188995,342.4453846
-0.241458041,51.52189133,340.8661538
-0.241442105,51.52189855,339.2869231
-0.241430644,51.52190285,337.7076923
-0.241421429,51.5219057,336.1284615
-0.241405157,51.52190841,334.5492308
-0.241393653,51.52191273,332.97
-0.241384407,51.52191558,331.3907692
-0.241372951,51.52192142,329.8115385
-0.241363755,51.5219258,328.2323077
-0.241352262,51.52193167,326.6530769
-0.241340825,51.52193909,325.0738462
-0.241336242,51.52194207,323.4946154
-0.241324764,51.52194952,321.9153846
-0.241320228,51.52195404,320.3361538
-0.241313257,51.52195699,318.7569231
-0.241301779,51.52196602,317.1776923
-0.241294842,51.52197052,315.5984615
-0.241283309,51.5219796,314.0192308
-0.241276341,51.52198413,312.44
-0.24127169,51.52198715,310.8607692
-0.241260089,51.52199627,309.2815385
-0.241253084,51.52200083,307.7023077
-0.241241428,51.52201,306.1230769
-0.241234432,51.52201614,304.5438462
-0.24122511,51.52202542,302.9646154
-0.241218118,51.52203318,301.3853846
-0.241208742,51.52204251,299.8061538
-0.241201707,51.52205033,298.2269231
-0.241194682,51.52205976,296.6476923
-0.241187634,51.52206922,295.0684615
-0.241185253,51.52207078,293.4892308
-0.241180619,51.52208195,291.91
-0.241178334,51.52208997,290.3307692
-0.241176018,51.5220964,288.7515385
-0.241173672,51.52210122,287.1723077
-0.241171419,51.52211256,285.5930769
-0.241169041,51.52211578,284.0138462
-0.241169201,51.52212722,282.4346154
-0.241166816,51.52213045,280.8553846
-0.241164535,51.52214191,279.2761538
-0.241164643,51.52215015,277.6969231
-0.241164752,51.52215841,276.1176923
-0.241167284,51.52216507,274.5384615
-0.241167396,51.52217338,272.9592308
-0.241167532,51.52218338,271.38
-0.241165233,51.52219505,269.8007692
-0.241165323,51.52220177,268.2215385
-0.241165435,51.52221019,266.6423077
-0.241165549,51.52221863,265.0630769
-0.241165663,51.52222711,263.4838462
-0.241163301,51.52223556,261.9046154
-0.241163479,51.52224921,260.3253846
-0.241163635,51.5222612,258.7461538
-0.241163725,51.52226808,257.1669231
-0.241163852,51.5222784,255.5876923
-0.241166491,51.52229048,254.0084615
-0.241166595,51.52229912,252.4292308
-0.241166722,51.52230951,250.85
-0.241169316,51.52231651,249.2707692
-0.24116936,51.52231999,247.6915385
-0.241169491,51.52233046,246.1123077
-0.241169579,51.52233746,244.5330769
-0.241169711,51.52234799,242.9538462
-0.241169822,51.52235679,241.3746154
-0.241172438,51.52236389,239.7953846
-0.241172549,51.52237272,238.2161538
-0.24117518,51.52237987,236.6369231
-0.241175276,51.52238699,235.0576923
-0.241177916,51.52239417,233.4784615
-0.241177965,51.52239775,230.32
